product_id,product_brand,product_name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
1,Washington,Washington Berry Juice,90748583674,2.85,0.94,8.39,,
2,Washington,Washington Mango Drink,96516502499,0.74,0.26,7.42,,1
3,Washington,Washington Strawberry Drink,58427771925,0.83,0.4,13.1,1,1
4,Washington,Washington Cream Soda,64412155747,3.64,1.64,10.6,1,
5,Washington,Washington Diet Soda,85561191439,2.19,0.77,6.66,1,
6,Washington,Washington Cola,29804642796,1.15,0.37,15.8,,
7,Washington,Washington Diet Cola,20191444754,2.61,0.91,18,1,
8,Washington,Washington Orange Juice,89770532250,2.59,0.8,8.97,1,
9,Washington,Washington Cranberry Juice,49395100474,2.42,0.77,7.14,,
10,Washington,Washington Apple Juice,22114084362,1.42,0.5,8.13,1,
11,Washington,Washington Apple Drink,17074288725,3.51,1.65,20,,1
12,Jeffers,Jeffers Oatmeal,49031038880,1.54,0.69,8.9,1,1
13,Jeffers,Jeffers Corn Puffs,13229009509,2.65,1.27,10.4,,
14,Jeffers,Jeffers Wheat Puffs,92942813038,1.93,0.71,21.6,1,1
15,Jeffers,Jeffers Grits,26378549933,2.29,1.08,21.3,,1
16,Blue Label,Blue Label Canned Beets,62908702492,3.83,1.72,21.2,,1
17,Blue Label,Blue Label Creamed Corn,79484335780,2.99,1.5,6.91,1,1
18,Blue Label,Blue Label Canned String Beans,85252254605,2.67,1.17,12.6,1,
19,Blue Label,Blue Label Chicken Soup,47163524031,3.19,1.47,15.2,1,1
20,Blue Label,Blue Label Canned Yams,22169209122,2.78,0.92,21.3,,1
21,Blue Label,Blue Label Vegetable Soup,43318244814,2.33,0.89,19.7,,1
22,Blue Label,Blue Label Canned Tomatos,77561696171,2.29,0.98,15,,
23,Blue Label,Blue Label Noodle Soup,32829326987,1.75,0.56,10.6,1,
24,Blue Label,Blue Label Regular Ramen Soup,12408414483,1.73,0.52,12.8,,1
25,Blue Label,Blue Label Chicken Noodle Soup,62032982707,1.55,0.7,9.48,1,1
26,Blue Label,Blue Label Turkey Noodle Soup,34751966595,0.88,0.37,16.5,1,1
27,Blue Label,Blue Label Beef Soup,29712170958,2.65,1.11,11.2,,1
28,Blue Label,Blue Label Canned Peas,61668921113,3.91,1.64,21.9,1,
29,Blue Label,Blue Label Chicken Ramen Soup,25866891741,1.78,0.62,17.1,,
30,Blue Label,Blue Label Canned Tuna in Water,93159278035,1.41,0.45,9.71,1,
31,Blue Label,Blue Label Canned Tuna in Oil,50497145056,1.55,0.74,17.2,1,
32,Blue Label,Blue Label Large Canned Shrimp,87027297616,2.86,0.89,8.86,,
33,Blue Label,Blue Label Fancy Canned Anchovies,44581629633,1.36,0.49,8.27,,1
34,Blue Label,Blue Label Fancy Canned Clams,50349548459,1.69,0.78,16.7,1,1
35,Blue Label,Blue Label Fancy Canned Oysters,36162948012,2.21,1.02,18.2,,1
36,Blue Label,Blue Label Fancy Canned Sardines,11168633103,1.8,0.88,14,1,
37,Blue Label,Blue Label Rice Soup,32317668795,1.59,0.48,21,1,1
38,Green Ribbon,Green Ribbon Canned Mixed Fruit,42658990025,1.31,0.62,14,1,1
39,Green Ribbon,Green Ribbon Canned Peaches,33045791983,3.11,1.09,17.5,1,
40,King,King Rosy Sunglasses,36527009606,0.99,0.47,11.7,1,
41,Queen,Queen Eyeglass Screwdriver,86151577830,0.89,0.37,8.61,1,
42,Queen,Queen City Map,89849260449,2.82,1.04,13.6,1,
43,Club,Club Low Fat Cottage Cheese,18711594939,1.67,0.55,17.7,1,
44,Club,Club Low Fat Sour Cream,50668345093,2.93,1.08,10.7,,1
45,Club,Club Sour Cream,14866315722,0.53,0.25,13.6,,
46,Club,Club Jack Cheese,82158702015,3.44,1.38,14.4,1,
47,Club,Club Muenster Cheese,39496569037,2.57,1.23,17.8,1,
48,Club,Club String Cheese,76026721596,1.88,0.79,6.31,1,1
49,Club,Club Low Fat String Cheese,68700224757,3.38,1.42,17,,
50,Club,Club Havarti Cheese,74468143582,3.95,1.94,9.95,,1
51,Club,Club Head Cheese,24898700118,1.47,0.44,8.41,,1
52,Club,Club Cheese Spread,66002255082,2.17,0.91,14.5,1,1
53,Club,Club Sharp Cheddar Cheese,21053420901,3.61,1.77,18.8,1,1
54,Club,Club Mild Cheddar Cheese,31394742131,2.93,1.35,9.58,,1
55,Club,Club Large Curd Cottage Cheese,21781544089,3.5,1.51,14.3,1,
56,Club,Club 2% Milk,25262761712,0.71,0.28,20.6,1,
57,Club,Club Buttermilk,74887329936,0.61,0.29,20.1,,
58,Club,Club Chocolate Milk,23704183697,2.31,0.69,15.5,,
59,Club,Club 1% Milk,42566518187,1.4,0.55,18.8,,
60,Club,Club Whole Milk,50621138215,2.66,1.2,7.03,,
61,Club,Club Strawberry Yogurt,93602067828,0.74,0.37,13.4,,1
62,Club,Club Blueberry Yogurt,70894454121,3.82,1.72,14.1,,1
63,Red Spade,Red Spade Chicken Hot Dogs,28232321143,2.95,0.91,20.3,1,1
64,Red Spade,Red Spade Pimento Loaf,64762473702,1.61,0.58,13.2,1,
65,Red Spade,Red Spade Beef Bologna,57435976862,3.76,1.54,10.3,,1
66,Red Spade,Red Spade Low Fat Bologna,63203895688,3.44,1.62,11.9,1,1
67,Red Spade,Red Spade Turkey Hot Dogs,25115165114,1.86,0.91,6.15,,1
